offline_datapoint_27 1711041947 143442,000
offline_datapoint_21 1711041947 5547,000
offline_datapoint_12 1711041947 827183104,000
offline_datapoint_0 1711041947 641888256,000
offline_datapoint_19 1711041947 17095647232,000
offline_datapoint_25 1711041947 502857728,000
offline_datapoint_11 1711041947 5357,000
offline_datapoint_5 1711041945 132,496
offline_datapoint_24 1711041945 20995,970
offline_datapoint_7 1711041947 502857728,000
offline_datapoint_17 1711041945 17,977
offline_datapoint_6 1711041947 12916281344,000
offline_datapoint_23 1711041947 14093742080,000
offline_datapoint_22 1711041945 0,000
offline_datapoint_28 1711041945 4,424
offline_datapoint_10 1711041945 1,951
offline_datapoint_29 1711041945 16633,586
offline_datapoint_4 1711041947 1,000
offline_datapoint_16 1711041945 27986,970
offline_datapoint_2 1711041945 1754,408
offline_datapoint_14 1711041945 2,822
offline_datapoint_3 1711041945 34,622
offline_datapoint_26 1711041945 98,605
offline_datapoint_15 1711041945 3,995
offline_datapoint_8 1711041945 27923,692
offline_datapoint_20 1711041945 0,028
offline_datapoint_27 1711041950 143442,000
offline_datapoint_21 1711041950 5545,000
offline_datapoint_12 1711041950 827195392,000
offline_datapoint_0 1711041950 642039808,000
offline_datapoint_19 1711041950 17089982464,000
offline_datapoint_25 1711041950 503926784,000
offline_datapoint_11 1711041950 5361,000
offline_datapoint_5 1711041948 42,699
offline_datapoint_24 1711041948 2635,665
offline_datapoint_7 1711041950 503926784,000
offline_datapoint_17 1711041948 0,334
offline_datapoint_6 1711041950 12911656960,000
offline_datapoint_23 1711041950 14089854976,000
offline_datapoint_22 1711041948 0,195
offline_datapoint_28 1711041948 1,364
offline_datapoint_10 1711041948 0,847
offline_datapoint_29 1711041948 12632,578
offline_datapoint_4 1711041950 0,000
offline_datapoint_16 1711041948 18234,159
offline_datapoint_2 1711041948 1222,927
offline_datapoint_14 1711041948 1,700
offline_datapoint_3 1711041948 9,007
offline_datapoint_26 1711041948 99,072
offline_datapoint_15 1711041948 0,000
offline_datapoint_8 1711041948 25334,519
offline_datapoint_20 1711041948 0,017
offline_datapoint_27 1711041953 143442,000
offline_datapoint_21 1711041953 5552,000
offline_datapoint_12 1711041953 827105280,000
offline_datapoint_0 1711041953 642326528,000
offline_datapoint_19 1711041953 17100541952,000
offline_datapoint_25 1711041953 502784000,000
offline_datapoint_11 1711041953 5359,000
offline_datapoint_5 1711041951 0,667
offline_datapoint_24 1711041951 15184,991
offline_datapoint_7 1711041953 502784000,000
offline_datapoint_17 1711041951 0,667
offline_datapoint_6 1711041953 12921049088,000
offline_datapoint_23 1711041953 14103007232,000
offline_datapoint_22 1711041951 0,260
offline_datapoint_28 1711041951 1,608
offline_datapoint_10 1711041951 1,237
offline_datapoint_29 1711041951 15965,214
offline_datapoint_4 1711041953 0,000
offline_datapoint_16 1711041951 25882,038
offline_datapoint_2 1711041951 1263,026
offline_datapoint_14 1711041951 2,293
offline_datapoint_3 1711041951 17,672
offline_datapoint_26 1711041951 98,363
offline_datapoint_15 1711041951 1,000
offline_datapoint_8 1711041951 8964,830
offline_datapoint_20 1711041951 0,023
offline_datapoint_27 1711041956 143442,000
offline_datapoint_21 1711041956 5551,000
offline_datapoint_12 1711041956 827281408,000
offline_datapoint_0 1711041956 642359296,000
offline_datapoint_19 1711041956 17097920512,000
offline_datapoint_25 1711041956 502571008,000
offline_datapoint_11 1711041956 5373,000
offline_datapoint_5 1711041954 0,000
offline_datapoint_24 1711041954 7440,408
offline_datapoint_7 1711041956 502571008,000
offline_datapoint_17 1711041954 0,000
offline_datapoint_6 1711041956 12917604352,000
offline_datapoint_23 1711041956 14096855040,000
offline_datapoint_22 1711041954 0,065
offline_datapoint_28 1711041954 1,910
offline_datapoint_10 1711041954 1,106
offline_datapoint_29 1711041954 14917,446
offline_datapoint_4 1711041956 0,000
offline_datapoint_16 1711041954 23508,398
offline_datapoint_2 1711041954 1391,975
offline_datapoint_14 1711041954 0,343
offline_datapoint_3 1711041954 7,659
offline_datapoint_26 1711041954 99,830
offline_datapoint_15 1711041954 0,000
offline_datapoint_8 1711041954 8192,000
offline_datapoint_20 1711041954 0,003
offline_datapoint_27 1711041959 143442,000
offline_datapoint_21 1711041959 5526,000
offline_datapoint_12 1711041959 827314176,000
offline_datapoint_0 1711041959 642359296,000
offline_datapoint_19 1711041959 17111449600,000
offline_datapoint_25 1711041959 502870016,000
offline_datapoint_11 1711041959 5354,000
offline_datapoint_5 1711041957 44,057
offline_datapoint_24 1711041957 12199,845
offline_datapoint_7 1711041959 502870016,000
offline_datapoint_17 1711041957 1,335
offline_datapoint_6 1711041959 12932452352,000
offline_datapoint_23 1711041959 14121873408,000
offline_datapoint_22 1711041957 0,130
offline_datapoint_28 1711041957 1,248
offline_datapoint_10 1711041957 0,652
offline_datapoint_29 1711041957 13736,841
offline_datapoint_4 1711041959 0,000
offline_datapoint_16 1711041957 20910,825
offline_datapoint_2 1711041957 1419,844
offline_datapoint_14 1711041957 2,332
offline_datapoint_3 1711041957 24,031
offline_datapoint_26 1711041957 98,082
offline_datapoint_15 1711041957 5,007
offline_datapoint_8 1711041957 19456,000
offline_datapoint_20 1711041957 0,023
offline_datapoint_27 1711041962 143442,000
offline_datapoint_21 1711041962 5527,000
offline_datapoint_12 1711041962 827314176,000
offline_datapoint_0 1711041962 642408448,000
offline_datapoint_19 1711041962 17067483136,000
offline_datapoint_25 1711041962 503238656,000
offline_datapoint_11 1711041962 5392,000
offline_datapoint_5 1711041960 85,158
offline_datapoint_24 1711041960 7334,240
offline_datapoint_7 1711041962 503238656,000
offline_datapoint_17 1711041960 0,998
offline_datapoint_6 1711041962 12888281088,000
offline_datapoint_23 1711041962 14061273088,000
offline_datapoint_22 1711041960 0,455
offline_datapoint_28 1711041960 1,973
offline_datapoint_10 1711041960 1,364
offline_datapoint_29 1711041960 11267,146
offline_datapoint_4 1711041962 0,000
offline_datapoint_16 1711041960 16103,193
offline_datapoint_2 1711041960 1409,765
offline_datapoint_14 1711041960 3,405
offline_datapoint_3 1711041960 18,296
offline_datapoint_26 1711041960 98,633
offline_datapoint_15 1711041960 0,998
offline_datapoint_8 1711041960 25693,091
offline_datapoint_20 1711041960 0,034
offline_datapoint_27 1711041965 143442,000
offline_datapoint_21 1711041965 5541,000
offline_datapoint_12 1711041965 827023360,000
offline_datapoint_0 1711041965 642441216,000
offline_datapoint_19 1711041965 17077714944,000
offline_datapoint_25 1711041965 502669312,000
offline_datapoint_11 1711041965 5393,000
offline_datapoint_5 1711041963 45,585
offline_datapoint_24 1711041963 10322,580
offline_datapoint_7 1711041965 502669312,000
offline_datapoint_17 1711041963 0,998
offline_datapoint_6 1711041965 12898312192,000
offline_datapoint_23 1711041965 14075117568,000
offline_datapoint_22 1711041963 0,260
offline_datapoint_28 1711041963 2,052
offline_datapoint_10 1711041963 0,845
offline_datapoint_29 1711041963 12790,177
offline_datapoint_4 1711041965 0,000
offline_datapoint_16 1711041963 19475,248
offline_datapoint_2 1711041963 1659,705
offline_datapoint_14 1711041963 2,139
offline_datapoint_3 1711041963 14,641
offline_datapoint_26 1711041963 98,604
offline_datapoint_15 1711041963 0,665
offline_datapoint_8 1711041963 20107,636
offline_datapoint_20 1711041963 0,021
offline_datapoint_27 1711041968 143442,000
offline_datapoint_21 1711041968 5548,000
offline_datapoint_12 1711041968 827154432,000
offline_datapoint_0 1711041968 642478080,000
offline_datapoint_19 1711041968 17061089280,000
offline_datapoint_25 1711041968 502972416,000
offline_datapoint_11 1711041968 5390,000
offline_datapoint_5 1711041966 7,018
offline_datapoint_24 1711041966 8900,708
offline_datapoint_7 1711041968 502972416,000
offline_datapoint_17 1711041966 1,671
offline_datapoint_6 1711041968 12882628608,000
offline_datapoint_23 1711041968 14078873600,000
offline_datapoint_22 1711041966 0,131
offline_datapoint_28 1711041966 1,577
offline_datapoint_10 1711041966 1,110
offline_datapoint_29 1711041966 13700,467
offline_datapoint_4 1711041968 1,000
offline_datapoint_16 1711041966 20847,636
offline_datapoint_2 1711041966 1181,726
offline_datapoint_14 1711041966 2,120
offline_datapoint_3 1711041966 9,023
offline_datapoint_26 1711041966 98,701
offline_datapoint_15 1711041966 1,003
offline_datapoint_8 1711041966 9405,630
offline_datapoint_20 1711041966 0,021
offline_datapoint_27 1711041971 143442,000
offline_datapoint_21 1711041971 5361,000
offline_datapoint_12 1711041971 827465728,000
offline_datapoint_0 1711041971 643387392,000
offline_datapoint_19 1711041971 17106468864,000
offline_datapoint_25 1711041971 503332864,000
offline_datapoint_11 1711041971 5359,000
offline_datapoint_5 1711041969 8,982
offline_datapoint_24 1711041969 21884,366
offline_datapoint_7 1711041971 503332864,000
offline_datapoint_17 1711041969 1,996
offline_datapoint_6 1711041971 12916879360,000
offline_datapoint_23 1711041971 14150094848,000
offline_datapoint_22 1711041969 0,390
offline_datapoint_28 1711041969 2,583
offline_datapoint_10 1711041969 1,495
offline_datapoint_29 1711041969 18449,163
offline_datapoint_4 1711041971 0,000
offline_datapoint_16 1711041969 31419,166
offline_datapoint_2 1711041969 1879,947
offline_datapoint_14 1711041969 0,982
offline_datapoint_3 1711041969 29,941
offline_datapoint_26 1711041969 98,997
offline_datapoint_15 1711041969 5,323
offline_datapoint_8 1711041969 11605,333
offline_datapoint_20 1711041969 0,010
offline_datapoint_27 1711041974 143442,000
offline_datapoint_21 1711041974 5365,000
offline_datapoint_12 1711041974 827498496,000
offline_datapoint_0 1711041974 643387392,000
offline_datapoint_19 1711041974 17103933440,000
offline_datapoint_25 1711041974 503656448,000
offline_datapoint_11 1711041974 5360,000
offline_datapoint_5 1711041972 43,144
offline_datapoint_24 1711041972 2181,280
offline_datapoint_7 1711041974 503656448,000
offline_datapoint_17 1711041972 0,669
offline_datapoint_6 1711041974 12915789824,000
offline_datapoint_23 1711041974 14149251072,000
offline_datapoint_22 1711041972 0,196
offline_datapoint_28 1711041972 1,303
offline_datapoint_10 1711041972 0,719
offline_datapoint_29 1711041972 13438,185
offline_datapoint_4 1711041974 0,000
offline_datapoint_16 1711041972 20236,542
offline_datapoint_2 1711041972 1222,079
offline_datapoint_14 1711041972 2,250
offline_datapoint_3 1711041972 14,047
offline_datapoint_26 1711041972 99,058
offline_datapoint_15 1711041972 1,003
offline_datapoint_8 1711041972 19407,238
offline_datapoint_20 1711041972 0,022
offline_datapoint_27 1711041977 143442,000
offline_datapoint_21 1711041977 5355,000
offline_datapoint_12 1711041977 827518976,000
offline_datapoint_0 1711041977 645636096,000
offline_datapoint_19 1711041977 17107181568,000
offline_datapoint_25 1711041977 504438784,000
offline_datapoint_11 1711041977 5360,000
offline_datapoint_5 1711041975 171,679
offline_datapoint_24 1711041975 9791,352
offline_datapoint_7 1711041977 504438784,000
offline_datapoint_17 1711041975 8,983
offline_datapoint_6 1711041977 12919980032,000
offline_datapoint_23 1711041977 14155067392,000
offline_datapoint_22 1711041975 0,325
offline_datapoint_28 1711041975 2,531
offline_datapoint_10 1711041975 1,624
offline_datapoint_29 1711041975 15264,116
offline_datapoint_4 1711041977 0,000
offline_datapoint_16 1711041975 23872,015
offline_datapoint_2 1711041975 1372,100
offline_datapoint_14 1711041975 1,950
offline_datapoint_3 1711041975 24,621
offline_datapoint_26 1711041975 98,753
offline_datapoint_15 1711041975 1,664
offline_datapoint_8 1711041975 34767,568
offline_datapoint_20 1711041975 0,020
offline_datapoint_27 1711041980 143442,000
offline_datapoint_21 1711041980 5384,000
offline_datapoint_12 1711041980 829091840,000
offline_datapoint_0 1711041980 641093632,000
offline_datapoint_19 1711041980 17057849344,000
offline_datapoint_25 1711041980 502439936,000
offline_datapoint_11 1711041980 5370,000
offline_datapoint_5 1711041978 1063,415
offline_datapoint_24 1711041978 47079,988
offline_datapoint_7 1711041980 502439936,000
offline_datapoint_17 1711041978 40,299
offline_datapoint_6 1711041980 12915847168,000
offline_datapoint_23 1711041980 14155563008,000
offline_datapoint_22 1711041978 0,130
offline_datapoint_28 1711041978 6,463
offline_datapoint_10 1711041978 2,016
offline_datapoint_29 1711041978 18040,079
offline_datapoint_4 1711041980 0,000
offline_datapoint_16 1711041978 31713,265
offline_datapoint_2 1711041978 2758,616
offline_datapoint_14 1711041978 1,992
offline_datapoint_3 1711041978 109,239
offline_datapoint_26 1711041978 98,685
offline_datapoint_15 1711041978 17,651
offline_datapoint_8 1711041978 72240,390
offline_datapoint_20 1711041978 0,020
offline_datapoint_27 1711041983 143442,000
offline_datapoint_21 1711041983 5296,000
offline_datapoint_12 1711041983 809594880,000
offline_datapoint_0 1711041983 641224704,000
offline_datapoint_19 1711041983 16891621376,000
offline_datapoint_25 1711041983 503099392,000
offline_datapoint_11 1711041983 5433,000
offline_datapoint_5 1711041981 49,420
offline_datapoint_24 1711041981 28784,058
offline_datapoint_7 1711041983 503099392,000
offline_datapoint_17 1711041981 4,007
offline_datapoint_6 1711041983 12816605184,000
offline_datapoint_23 1711041983 13984178176,000
offline_datapoint_22 1711041981 0,000
offline_datapoint_28 1711041981 2,894
offline_datapoint_10 1711041981 1,304
offline_datapoint_29 1711041981 17560,946
offline_datapoint_4 1711041983 0,000
offline_datapoint_16 1711041981 26747,135
offline_datapoint_2 1711041981 1601,155
offline_datapoint_14 1711041981 2,223
offline_datapoint_3 1711041981 39,069
offline_datapoint_26 1711041981 98,118
offline_datapoint_15 1711041981 1,336
offline_datapoint_8 1711041981 15998,906
offline_datapoint_20 1711041981 0,022
offline_datapoint_27 1711041986 143442,000
offline_datapoint_21 1711041986 5255,000
offline_datapoint_12 1711041986 809779200,000
offline_datapoint_0 1711041986 641269760,000
offline_datapoint_19 1711041986 16788480000,000
offline_datapoint_25 1711041986 502861824,000
offline_datapoint_11 1711041986 5504,000
offline_datapoint_5 1711041984 116,622
offline_datapoint_24 1711041984 15700,594
offline_datapoint_7 1711041986 502861824,000
offline_datapoint_17 1711041984 7,664
offline_datapoint_6 1711041986 12718141440,000
offline_datapoint_23 1711041986 13812371456,000
offline_datapoint_22 1711041984 0,130
offline_datapoint_28 1711041984 2,956
offline_datapoint_10 1711041984 1,302
offline_datapoint_29 1711041984 17415,597
offline_datapoint_4 1711041986 0,000
offline_datapoint_16 1711041984 28116,791
offline_datapoint_2 1711041984 1318,157
offline_datapoint_14 1711041984 0,643
offline_datapoint_3 1711041984 42,650
offline_datapoint_26 1711041984 99,485
offline_datapoint_15 1711041984 1,333
offline_datapoint_8 1711041984 15900,000
offline_datapoint_20 1711041984 0,006
offline_datapoint_27 1711041989 143442,000
offline_datapoint_21 1711041989 5253,000
offline_datapoint_12 1711041989 810446848,000
offline_datapoint_0 1711041989 641286144,000
offline_datapoint_19 1711041989 16798314496,000
offline_datapoint_25 1711041989 503676928,000
offline_datapoint_11 1711041989 5487,000
offline_datapoint_5 1711041987 43,348
offline_datapoint_24 1711041987 15182,033
offline_datapoint_7 1711041989 503676928,000
offline_datapoint_17 1711041987 1,000
offline_datapoint_6 1711041989 12715065344,000
offline_datapoint_23 1711041989 13810499584,000
