658 1711041949 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041950 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041951 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041952 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041953 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041954 3,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041955 3,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041956 3,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041949 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041950 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041951 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041952 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041953 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041954 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041955 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041956 0,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041957 3,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041958 3,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041959 4,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711041960 4,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711041961 4,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711041962 4,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711041963 4,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711041964 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041965 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041966 5,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041957 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041958 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041959 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041960 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041961 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041962 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041963 0,400000 -1,000000 -101,000000 0,000000 0,000000
