649 1711041944 0,000279 0,200000 0,000279 0,000279 0,000000
649 1711041945 0,000279 0,200000 0,000279 0,000279 0,000000
649 1711041946 0,000279 0,200000 0,000279 0,000279 0,000000
649 1711041947 0,000279 0,200000 0,000279 0,000279 0,000000
649 1711041948 0,000279 0,200000 0,000279 0,000279 0,000000
652 1711041949 4,363631 0,200000 4,363631 4,363631 3,808254
649 1711041949 0,000368 0,200000 0,000368 0,000368 0,000000
652 1711041950 4,363631 0,200000 4,363631 4,363631 3,808254
649 1711041950 0,000368 0,200000 0,000368 0,000368 0,000000
652 1711041951 4,363631 0,200000 4,363631 4,363631 3,808254
649 1711041951 0,000368 0,200000 0,000368 0,000368 0,000000
652 1711041952 4,363631 0,200000 4,363631 4,363631 3,808254
649 1711041952 0,000368 0,200000 0,000368 0,000368 0,000000
652 1711041953 4,363631 0,200000 4,363631 4,363631 3,808254
649 1711041953 0,000368 0,200000 0,000368 0,000368 0,000000
652 1711041954 5,056514 0,200000 5,056514 5,056514 5,113667
671 1711041954 1,030326 0,200000 1,030326 1,030326 0,212314
649 1711041954 0,000295 0,200000 0,000295 0,000295 0,000000
652 1711041955 5,056514 0,200000 5,056514 5,056514 5,113667
671 1711041955 1,030326 0,200000 1,030326 1,030326 0,212314
649 1711041955 0,000295 0,200000 0,000295 0,000295 0,000000
652 1711041956 5,056514 0,200000 5,056514 5,056514 5,113667
671 1711041956 1,030326 0,200000 1,030326 1,030326 0,212314
649 1711041956 0,000295 0,200000 0,000295 0,000295 0,000000
652 1711041957 5,056514 0,200000 5,056514 5,056514 5,113667
671 1711041957 1,030326 0,200000 1,030326 1,030326 0,212314
649 1711041957 0,000295 0,200000 0,000295 0,000295 0,000000
652 1711041958 5,056514 0,200000 5,056514 5,056514 5,113667
671 1711041958 1,030326 0,200000 1,030326 1,030326 0,212314
649 1711041958 0,000295 0,200000 0,000295 0,000295 0,000000
652 1711041959 4,738984 0,200000 4,738984 4,738984 4,491595
674 1711041959 1,716736 0,200000 1,716736 1,716736 0,589436
677 1711041959 0,126247 0,200000 0,126247 0,126247 0,003188
649 1711041959 0,000259 0,200000 0,000259 0,000259 0,000000
652 1711041960 4,738984 0,200000 4,738984 4,738984 4,491595
674 1711041960 1,716736 0,200000 1,716736 1,716736 0,589436
677 1711041960 0,126247 0,200000 0,126247 0,126247 0,003188
649 1711041960 0,000259 0,200000 0,000259 0,000259 0,000000
652 1711041961 4,738984 0,200000 4,738984 4,738984 4,491595
674 1711041961 1,716736 0,200000 1,716736 1,716736 0,589436
677 1711041961 0,126247 0,200000 0,126247 0,126247 0,003188
649 1711041961 0,000259 0,200000 0,000259 0,000259 0,000000
652 1711041962 4,738984 0,200000 4,738984 4,738984 4,491595
674 1711041962 1,716736 0,200000 1,716736 1,716736 0,589436
677 1711041962 0,126247 0,200000 0,126247 0,126247 0,003188
649 1711041962 0,000259 0,200000 0,000259 0,000259 0,000000
652 1711041963 4,738984 0,200000 4,738984 4,738984 4,491595
674 1711041963 1,716736 0,200000 1,716736 1,716736 0,589436
677 1711041963 0,126247 0,200000 0,126247 0,126247 0,003188
649 1711041963 0,000259 0,200000 0,000259 0,000259 0,000000
652 1711041964 5,411232 0,200000 5,411232 5,411232 5,856287
674 1711041964 1,716216 0,200000 1,716216 1,716216 0,589080
686 1711041964 21,016838 0,200000 21,016838 21,016838 88,341493
683 1711041964 0,469597 0,200000 0,469597 0,469597 0,044104
680 1711041964 21,016922 0,200000 21,016922 21,016922 88,342198
652 1711041965 5,411232 0,200000 5,411232 5,411232 5,856287
674 1711041965 1,716216 0,200000 1,716216 1,716216 0,589080
686 1711041965 21,016838 0,200000 21,016838 21,016838 88,341493
683 1711041965 0,469597 0,200000 0,469597 0,469597 0,044104
680 1711041965 21,016922 0,200000 21,016922 21,016922 88,342198
680 1711041966 21,016922 0,200000 21,016922 21,016922 88,342198
652 1711041966 5,411232 0,200000 5,411232 5,411232 5,856287
674 1711041966 1,716216 0,200000 1,716216 1,716216 0,589080
686 1711041966 21,016838 0,200000 21,016838 21,016838 88,341493
683 1711041966 0,469597 0,200000 0,469597 0,469597 0,044104
652 1711041967 5,411232 0,200000 5,411232 5,411232 5,856287
674 1711041967 1,716216 0,200000 1,716216 1,716216 0,589080
686 1711041967 21,016838 0,200000 21,016838 21,016838 88,341493
683 1711041967 0,469597 0,200000 0,469597 0,469597 0,044104
680 1711041967 21,016922 0,200000 21,016922 21,016922 88,342198
652 1711041968 5,411232 0,200000 5,411232 5,411232 5,856287
674 1711041968 1,716216 0,200000 1,716216 1,716216 0,589080
686 1711041968 21,016838 0,200000 21,016838 21,016838 88,341493
683 1711041968 0,469597 0,200000 0,469597 0,469597 0,044104
680 1711041968 21,016922 0,200000 21,016922 21,016922 88,342198
652 1711041969 3,836947 0,200000 3,836947 3,836947 2,944433
671 1711041969 1,095234 0,200000 1,095234 1,095234 0,239908
649 1711041969 0,000359 0,200000 0,000359 0,000359 0,000000
652 1711041970 3,836947 0,200000 3,836947 3,836947 2,944433
671 1711041970 1,095234 0,200000 1,095234 1,095234 0,239908
649 1711041970 0,000359 0,200000 0,000359 0,000359 0,000000
671 1711041971 1,095234 0,200000 1,095234 1,095234 0,239908
652 1711041971 3,836947 0,200000 3,836947 3,836947 2,944433
649 1711041971 0,000359 0,200000 0,000359 0,000359 0,000000
652 1711041972 3,836947 0,200000 3,836947 3,836947 2,944433
671 1711041972 1,095234 0,200000 1,095234 1,095234 0,239908
649 1711041972 0,000359 0,200000 0,000359 0,000359 0,000000
652 1711041973 3,836947 0,200000 3,836947 3,836947 2,944433
671 1711041973 1,095234 0,200000 1,095234 1,095234 0,239908
649 1711041973 0,000359 0,200000 0,000359 0,000359 0,000000
689 1711041974 0,407727 0,200000 0,407727 0,407727 0,033248
677 1711041974 0,169336 0,200000 0,169336 0,169336 0,005735
671 1711041974 1,045802 0,200000 1,045802 1,045802 0,218740
649 1711041974 0,000150 0,200000 0,000150 0,000150 0,000000
692 1711041974 0,414506 0,200000 0,414506 0,414506 0,034363
689 1711041975 0,407727 0,200000 0,407727 0,407727 0,033248
677 1711041975 0,169336 0,200000 0,169336 0,169336 0,005735
671 1711041975 1,045802 0,200000 1,045802 1,045802 0,218740
649 1711041975 0,000150 0,200000 0,000150 0,000150 0,000000
692 1711041975 0,414506 0,200000 0,414506 0,414506 0,034363
677 1711041976 0,169336 0,200000 0,169336 0,169336 0,005735
689 1711041976 0,407727 0,200000 0,407727 0,407727 0,033248
671 1711041976 1,045802 0,200000 1,045802 1,045802 0,218740
649 1711041976 0,000150 0,200000 0,000150 0,000150 0,000000
692 1711041976 0,414506 0,200000 0,414506 0,414506 0,034363
689 1711041977 0,407727 0,200000 0,407727 0,407727 0,033248
677 1711041977 0,169336 0,200000 0,169336 0,169336 0,005735
671 1711041977 1,045802 0,200000 1,045802 1,045802 0,218740
649 1711041977 0,000150 0,200000 0,000150 0,000150 0,000000
692 1711041977 0,414506 0,200000 0,414506 0,414506 0,034363
689 1711041978 0,407727 0,200000 0,407727 0,407727 0,033248
677 1711041978 0,169336 0,200000 0,169336 0,169336 0,005735
671 1711041978 1,045802 0,200000 1,045802 1,045802 0,218740
649 1711041978 0,000150 0,200000 0,000150 0,000150 0,000000
692 1711041978 0,414506 0,200000 0,414506 0,414506 0,034363
695 1711041979 16,128222 0,200000 16,128222 16,128222 52,023912
652 1711041979 4,471730 0,200000 4,471730 4,471730 3,999274
698 1711041979 0,282204 0,200000 0,282204 0,282204 0,015928
677 1711041979 0,150411 0,200000 0,150411 0,150411 0,004525
649 1711041979 0,000245 0,200000 0,000245 0,000245 0,000000
683 1711041979 0,431381 0,200000 0,431381 0,431381 0,037218
680 1711041979 16,128302 0,200000 16,128302 16,128302 52,024427
695 1711041980 16,128222 0,200000 16,128222 16,128222 52,023912
652 1711041980 4,471730 0,200000 4,471730 4,471730 3,999274
